0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Eulemur Rufus,363.01017832724443,92.10967565086004,49.42777478923928,38.4261637892713,117.24169265639296,63.86709586245419,37.15570519311211,56.507353451162345,116.4052668706203,34.31074833555503,0.0,43.71870087617211,20.58590063516093,373.11265220501764,215.20695764160595,34.19392961646236,371.22362614859077,387.4936049202651,344.4225786216293,189.84062696886508,309.16410244632044,227.6657244137532,358.5796929513839,261.2424098090507,240.59491303698232,238.26275519611823
Eulemur Sanfordi,335.7385540611736,103.00132123873678,53.92224134697942,68.7691179397962,91.866519852358,88.8126652173672,64.00324958731882,76.97573003624483,87.33696634205944,40.06362139787823,43.71870087617211,0.0,30.109956306977,347.88311588551414,188.21449201537467,67.78306872036103,343.2507335703788,362.0102750184048,318.90424375323465,167.15157135330188,283.1605763612049,202.25317619220266,385.7995843337228,229.21107625508702,265.8788822793072,264.1864652788424
Eulemur Eulemur,362.06344112686094,82.12382595482819,39.57790228117459,39.28940596921047,116.39094430867142,61.71245709092256,36.985984264475206,51.11401326634338,113.59203761760106,17.67423650047516,20.58590063516093,30.109956306977,0.0,373.42411357390995,214.21084354320482,38.90846588218945,370.0049134054463,387.6307355886541,344.54021067498894,191.06367598154037,308.9968900243204,227.58302758744904,358.6640688429517,257.382766149681,239.33456287043686,237.33532474596007
Galago moholi,41.43882856072708,447.57827905485425,389.89075312286263,409.3975283733423,257.6719587885672,430.2566450101054,403.39299155988476,420.5952981514097,261.5717470738609,386.6745964591406,373.11265220501764,347.88311588551414,373.42411357390995,0.0,160.3238712796413,403.1349662123673,33.70121551974894,19.44670761022132,30.672275483763837,183.84364816578534,67.43483111149551,145.9668630668956,729.0431903583539,131.44322145085715,609.6228859453437,608.4103395713958
Hapalemur griseus griseus,152.86456840505159,288.06590064743637,232.79847751055974,251.23915369670854,99.79417532016068,271.4242631048018,245.42964741601492,262.4123776828612,102.57607905370378,227.43478785337868,215.20695764160595,188.21449201537467,214.21084354320482,160.3238712796413,0.0,245.62831083114145,156.40175979948327,175.2403103055132,132.17255418346468,32.77241425178279,95.69779618454895,17.59370512194948,570.7225994138273,56.56397944331009,451.7761402605385,450.2022359615406
Lemur catta,392.3635580053392,68.22001683817489,50.53927532924068,15.498042403395543,148.00133087478227,35.83532127722339,30.83934640874892,32.602279149425364,147.28544580142955,36.17325516493901,34.19392961646236,67.78306872036103,38.90846588218945,403.1349662123673,245.62831083114145,0.0,401.76643260288785,416.9690713389044,374.5072004244366,220.76875519047618,339.99665062725774,257.9294146170491,327.44244011207144,291.1042927305168,208.33660326501308,206.38175437484986
Loris tardigradus,45.12657371509878,442.73728751832107,386.07310529483385,407.11043884338227,254.71909078358158,427.64478299962485,400.472803163594,417.5909100709444,256.9735460485879,382.74962223320085,371.22362614859077,343.2507335703788,370.0049134054463,33.70121551974894,156.40175979948327,401.76643260288785,0.0,44.036801131938894,40.60955661975885,183.13941730662333,63.98732494819218,144.5164486827517,726.9247258908047,118.37905539180154,607.4156472066194,606.1083325617952
Microcebus murinus,42.98983271445243,461.1718203168811,403.51577679556044,423.43106004342303,272.08233921667966,444.159664140774,417.67581588286197,434.2249336848846,276.12975123716393,400.58389979585303,387.4936049202651,362.0102750184048,387.6307355886541,19.44670761022132,175.2403103055132,416.9690713389044,44.036801131938894,0.0,45.592013090288866,199.08049491977425,84.48389274236014,160.75774948588474,742.6711835145273,144.98258045316229,622.7317231276339,621.7557101257021
Mirza coquereli,34.6943708094297,419.1149604363019,360.15830885940716,380.4668834984878,228.4932368594181,401.9556385037939,374.1255453924437,391.3845389218139,232.37231736534233,357.6561994815693,344.4225786216293,318.90424375323465,344.54021067498894,30.672275483763837,132.17255418346468,374.5072004244366,40.60955661975885,45.592013090288866,0.0,155.74834510035896,40.65844049597443,117.68405852330864,700.9314030781127,104.41223409715099,580.8812902729313,579.769585122847
Nycticebus coucang,177.93187496852943,267.7254469151916,210.70805533720363,226.79696782756847,76.92171174383782,248.0732385173467,221.01283109404537,239.41036020333485,82.45285945501894,205.39526898491584,189.84062696886508,167.15157135330188,191.06367598154037,183.84364816578534,32.77241425178279,220.76875519047618,183.13941730662333,199.08049491977425,155.74834510035896,0.0,120.08210232633618,40.14322594581086,546.7704465080898,88.45227077765861,428.4952573484113,426.6954801979249
